Missing_Rate,Variant,Mean_Accuracy,Std_Accuracy,N_Datasets
0.0,baseline,66.27715142567952,8.523357506348626,3
0.0,pyramidal_latent,65.32993329895866,7.1559041362847955,3
0.0,tvf_lstm_latent,65.43630321820577,7.276296526273027,3
0.0,tvf_transformer_latent,64.45249478022258,7.3993551731109655,2
0.0,channel_latent,63.92914563417435,6.571797322648936,3
0.3,baseline,54.67345442208978,9.755048081130807,3
0.3,pyramidal_latent,52.54877951410081,8.440231289559344,3
0.3,tvf_lstm_latent,54.08570382330152,8.807832895932142,3
0.3,tvf_transformer_latent,49.62855637073517,6.198603510856628,2
0.3,channel_latent,54.91062879562378,5.388292102045155,3
0.6,baseline,46.79151002731587,9.462864589327904,3
0.6,pyramidal_latent,41.247092485427856,4.163752992038826,3
0.6,tvf_lstm_latent,53.61884991327921,9.374346869095652,3
0.6,tvf_transformer_latent,38.83038143316905,3.564680616060894,2
0.6,channel_latent,46.67512054244677,5.3142155271725695,3
0.9,baseline,27.240986679163242,2.2132073535914243,3
0.9,pyramidal_latent,27.45258526669608,8.008847750081136,3
0.9,tvf_lstm_latent,40.58865593539344,13.792323947890683,3
0.9,tvf_transformer_latent,26.741277426481247,2.0993025600910187,2
0.9,channel_latent,33.994565134247146,9.738109363207787,3
